ciudad,canon,area,lat,lng,url,costo total,costoxmetros
Bodega D.C.,43000000,2100,4.6399737,-74.1151021,Actual,516000000,3267747
Bogotá D.C,35000000,3000,4.624162,-74.088473,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-cundinamarca/2764-M2131959,440000000,4668210
Bogotá D.C,12800000,600,4.624579,-74.093208,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-cundinamarca/603-100701029,173600000,933642
Bogotá D.C,7000000,450,4.621671,-74.093444,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-cundinamarca/11052-M2771205,104000000,700232
Bogotá D.C,24000000,1334,4.744053, -74.037572,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-toberin-4-garajes/MC2860958,308000000,2075797
Bogotá D.C,11000000,720,4.678669,-74.08721,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-las-ferias/412-M2691596,152000000,1120370
Bogotá D.C,8200000,408,4.74284,-74.043839,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-las-orquideas/412-M2691662,118400000,634877
Bogotá D.C,6730000,330,4.739659,-74.036666,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-balcones-de-oriente/412-M2691618,100760000,513503
Bogotá D.C,60000000,2850,4.744037,-74.038729,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-la-reserva-del-palmar/10091-M2655572,740000000,4434800
Bogotá D.C,19000000,1000,4.74823, -74.044135,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-toberin/10109-M2775371,248000000,1556070
Bogotá D.C,4200000,700,4.693394,-74.077673,https://www.metrocuadrado.com/inmueble/venta-bodega-bogota-julio-florez/9914-2982940,70400000,1089249
Bogotá D.C,38500000,1100,4.667625,-74.072527,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-la-merced-norte/5072-M2860406,482000000,1711677
Bogotá D.C,68000000,2400,4.686995,-74.088007,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-las-ferias-occidental/4836-3083,836000000,3734568
Bogotá D.C,28265380,1284.79,4.676962, -74.114360,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-san-ignacio/537-M2706957,359184560,1999223
Bogotá D.C,54450000,2178,4.743033,-74.045203,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-las-orquideas/3284-1582493,673400000,3389120
Bogotá D.C,7800000,439,4.7644, -74.028227,https://www.metrocuadrado.com/inmueble/venta-bodega-bogota-tibabita/897-1004090,113600000,683115
Bogotá D.C,12000000,450,4.662928,-74.068255,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-alcazares-norte/412-M2602179,164000000,700232
Bogotá D.C,15000000,720,4.764406,-74.03012,https://www.metrocuadrado.com/inmueble/arriendo-bodega-bogota-tibabita/5072-M2669999,200000000,1120370
Bogotá D.C,8000000,496,4.682957,-74.129021,https://www.metrocuadrado.com/inmueble/venta-bodega-bogota-cofradia/342-11656,116000000,771811
