LATITUDE;LONGITUDE;CLIENT_LIST;CLIENT_WEIGHT;OWN
4.6743284;-74.1471051;7271;1;0
4.6061987;-74.1045821;17363;1;0
4.5604929;-74.121375;9573;1;0
4.6888124;-74.0513821;14133;1;0
4.7058282;-74.2314184;17958;1;0
4.5543976;-74.1371969;4720;1;0
4.5669538;-74.1441112;17420;1;0
4.6307093;-74.1080401;6740;1;0
4.5697416;-74.1632687;5911;1;0
4.6954138;-74.1650091;8065;1;0
4.5295943;-74.1182803;19167;1;0
4.7642181;-74.0334506;16229;1;0
4.6066918;-74.1809138;314;1;0
4.6183436;-74.1205294;4542;1;0
4.5538487;-74.1401427;8149;1;0
4.6190874;-74.1268401;8387;1;0
4.615301;-74.143189;6347;1;0
4.5504297;-74.095256;7277;1;0
4.6269529;-74.1695982;8733;1;0
4.5793954;-74.247934;2919;1;0
4.6085573;-74.1687125;6682;1;0
4.7426315;-74.1075124;2728;1;0
4.568199;-74.1227441;15506;1;0
4.6157842;-74.0827021;9565;1;0
4.688822;-74.0512481;19788;1;0
4.7491298;-74.047367;9680;1;0
4.6153211;-74.1988205;1009;1;0
4.6387787;-74.1727641;2497;1;0
4.7135116;-74.210797;6287;1;0
4.6993392;-74.1142246;17641;1;0
4.7434936;-74.3462131;18257;1;0
4.6329492;-74.1854012;246;1;0
4.7295712;-74.0929614;4464;1;0
4.5488353;-74.1619555;8097;1;0
4.7399887;-74.0390426;7452;1;0
4.9385787;-74.3080816;19479;1;0
4.6250241;-74.1891815;8973;1;0
4.5720643;-74.2380053;2493;1;0
4.6332705;-74.2048521;8009;1;0
4.5867914;-74.2155671;6450;1;0
4.5279951;-74.1661477;2421;1;0
4.5948797;-74.197729;8276;1;0
4.5106879;-74.1111584;572;1;0
4.7143063;-74.0991257;6072;1;0
4.6685288;-74.0737219;7643;1;0
4.5168613;-74.089561;11890;1;0
4.6217814;-74.1130237;20510;1;0
4.5823215;-74.079675;7104;1;0
4.7525969;-74.044644;5585;1;0
4.5487609;-74.1617286;11824;1;0
4.5693916;-74.2285205;8326;1;0
4.7055882;-74.092485;9922;1;0
4.7134589;-74.0614987;16299;1;0
4.7179147;-74.0906012;3657;1;0
4.6225962;-74.1140936;12898;1;0
4.7387446;-74.0853826;18421;1;0
4.5788046;-74.1600115;9711;1;0
4.7335523;-74.1092183;14128;1;0
4.4865419;-74.1106107;2061;1;0
4.652492;-74.0787736;8995;1;0
4.6804939;-74.0896256;929;1;0
4.6244535;-74.1665704;1700;1;0
4.5606119;-74.1239151;232;1;0
4.6765742;-74.0845505;6926;1;0
4.5710818;-74.1796333;7910;1;0
4.7561617;-74.0968095;4389;1;0
4.6776526;-74.1455738;6619;1;0
4.6465166;-74.1213809;14489;1;0
4.5128152;-74.1145975;5393;1;0
4.6958664;-74.0417513;15165;1;0
4.6952442;-74.1222431;9239;1;0
4.6644845;-74.1331263;6641;1;0
4.6562723;-74.0644911;5427;1;0
4.680465;-74.0476387;7675;1;0
4.5843388;-74.171389;5176;1;0
4.5780837;-74.0871618;6006;1;0
4.5013289;-74.1098129;11521;1;0
4.6428783;-74.1715098;17224;1;0
4.6100167;-74.084876;6233;1;0
4.6826776;-74.0840923;1754;1;0
4.7034172;-74.1292709;13651;1;0
4.5257584;-74.1159635;6120;1;0
4.6149911;-74.1502459;1057;1;0
4.6123435;-74.1867384;4525;1;0
4.5852069;-74.1343179;7730;1;0
4.7561784;-74.1156869;17875;1;0
4.6462769;-74.1740398;1912;1;0
4.7469129;-74.0628973;14141;1;0
4.7157806;-74.1266977;12070;1;0
4.6067532;-74.0956665;6717;1;0
4.5846001;-74.1199936;6405;1;0
4.7413867;-74.1137474;3076;1;0
4.6054772;-74.169097;4205;1;0
4.7099221;-74.1429277;6535;1;0
4.6341247;-74.2011025;13147;1;0
4.7152081;-74.1194358;3583;1;0
4.6036381;-74.0670844;6002;1;0
4.4661663;-74.1530613;556;1;0
4.672986;-74.1461417;521;1;0
4.6688433;-74.0735515;9371;1;0
4.5156733;-74.0912099;5339;1;0
4.7507534;-74.1022912;12955;1;0
4.5569814;-74.1115772;4192;1;0
4.6306719;-74.086364;7358;1;0
4.6268246;-74.1871716;4482;1;0
4.6326564;-74.1552424;4279;1;0
4.6936338;-74.0526752;6561;1;0
4.572684;-74.2146851;6103;1;0
4.645907;-74.1658122;9285;1;0
4.6932223;-74.0535193;944;1;0
4.7345308;-74.2695713;21153;1;0
4.6973958;-74.0407841;20246;1;0
4.7322245;-74.2616431;20351;1;0
4.6671837;-74.0642653;9335;1;0
4.5432969;-74.1070858;22050;1;0
4.573328;-74.0918931;7152;1;0
4.689237;-74.0550529;7405;1;0
4.5812053;-74.0729028;7554;1;0
4.5005734;-74.0853218;5293;1;0
4.6700107;-74.0775033;6937;1;0
4.7515829;-74.0605306;9495;1;0
4.5685987;-74.1834505;10263;1;0
4.6244315;-74.1566356;10110;1;0
4.6093701;-74.1385951;2997;1;0
4.7135803;-74.2206036;859;1;0
4.6181268;-74.1704934;10976;1;0
4.6397155;-74.1938904;16967;1;0
4.5912175;-74.1204825;998;1;0
4.6939567;-74.1520104;2142;1;0
4.6215024;-74.1434778;2987;1;0
4.6132889;-74.1199155;13114;1;0
4.7120062;-74.1264953;2833;1;0
4.6546105;-74.0635134;10485;1;0
4.7153081;-74.1252462;808;1;0
4.6469314;-74.0646652;15639;1;0
4.5370295;-74.0881749;12526;1;0
4.7128842;-74.0579973;2977;1;0
4.629847;-74.065683;4219;1;0
4.7257019;-74.0890096;3021;1;0
4.6418584;-74.1747921;7016;1;0
4.7423158;-74.0291926;20094;1;0
4.7332323;-74.2636772;21639;1;0
4.6558649;-74.0702266;11275;1;0
4.5609844;-74.1472807;10697;1;0
4.7495128;-74.0558712;17053;1;0
4.6938051;-74.0395986;20305;1;0
4.6948701;-74.0437831;17471;1;0
4.7223066;-74.0516241;18874;1;0
4.7555626;-74.090074;16484;1;0
4.599317;-74.0786458;6890;1;0
4.5762531;-74.2085429;1867;1;0
4.7006569;-74.0276938;3790;1;0
4.609112;-74.1316327;21649;1;0
4.7380136;-74.0926127;20606;1;0
4.6145474;-74.2022309;20636;1;0
4.6029485;-74.1625373;20733;1;0
4.6327824;-74.1657292;927;1;0
4.6859619;-74.0982127;13472;1;0
4.5340516;-74.0858339;400;1;0
4.5877449;-74.0790008;6608;1;0
4.5477879;-74.1090075;11864;1;0
4.6929055;-74.0768981;13727;1;0
4.8073205;-74.0984667;12231;1;0
4.735372;-74.1093514;7171;1;0
4.6175329;-74.1810316;18530;1;0
4.6041822;-74.0828994;18644;1;0
4.5986978;-74.1614349;2269;1;0
4.5896;-74.1744667;15497;1;0
4.6896787;-74.0985513;9283;1;0
4.5406659;-74.155153;7014;1;0
4.5635349;-74.1468654;9973;1;0
4.7176273;-74.1031619;5929;1;0
4.6137081;-74.1447799;16153;1;0
4.5724785;-74.1674364;7692;1;0
4.6886743;-74.0514223;19232;1;0
4.5104032;-74.1182388;6809;1;0
4.6361279;-74.1280104;6003;1;0
4.5922911;-74.1558457;9645;1;0
4.7424874;-74.1011258;13315;1;0
4.5463606;-74.1116367;15366;1;0
4.6643218;-74.142868;2123;1;0
4.6086159;-74.167589;414;1;0
4.5796645;-74.2079622;8031;1;0
4.5512415;-74.0834733;19163;1;0
4.7236732;-74.0696116;16011;1;0
4.7343856;-74.2652818;14865;1;0
4.7051191;-74.0241476;2889;1;0
4.6358967;-74.170041;14300;1;0
4.625279;-74.1340464;9862;1;0
4.6026155;-74.1658144;14192;1;0
4.548558;-74.1503651;18262;1;0
4.607659;-74.1755737;9506;1;0
4.6896926;-74.1475522;14314;1;0
4.5754429;-74.2445004;309;1;0
4.7161378;-74.0573939;3827;1;0
4.6227235;-74.0713448;13682;1;0
4.5959409;-74.18877;5690;1;0
4.4997171;-74.1029816;14177;1;0
4.6432687;-74.077767;7715;1;0
4.493874;-74.109269;1572;1;0
4.683658;-74.1466389;13571;1;0
4.6136044;-74.2013549;1834;1;0
4.7248309;-74.0949157;3727;1;0
4.5786714;-74.1363255;4075;1;0
4.673881;-74.1087019;3967;1;0
4.7118942;-74.1166833;5786;1;0
4.742372;-74.0165368;7673;1;0
4.5830134;-74.2089206;8023;1;0
4.562957;-74.1303385;7763;1;0
4.719181;-74.2253754;1174;1;0
4.5623;-74.1389979;4690;1;0
4.583653;-74.1677456;11240;1;0
4.7644618;-74.0324129;2952;1;0
4.6309782;-74.1922729;1726;1;0
4.5684535;-74.087085;17039;1;0
4.5685298;-74.2399941;126;1;0
4.602983;-74.0805926;7579;1;0
4.6716115;-74.1082943;1072;1;0
4.5842076;-74.1026705;5938;1;0
4.6015736;-74.1105318;920;1;0
4.7232196;-74.0856317;3235;1;0
4.7502325;-74.0637242;13353;1;0
4.5673594;-74.0864526;8535;1;0
4.7547902;-74.0844945;9257;1;0
4.6858834;-74.1558484;5316;1;0
4.5054087;-74.1147912;5947;1;0
4.7136887;-74.1423573;11698;1;0
4.6167632;-74.1892782;336;1;0
4.5402329;-74.1171586;13115;1;0
4.6057789;-74.0989406;5544;1;0
4.7655979;-74.0517151;4610;1;0
4.6140537;-74.2002019;319;1;0
4.7425854;-74.116746;3087;1;0
4.9659373;-73.9130599;1169;1;0
4.5398399;-74.1167072;7751;1;0
4.6111906;-74.2006247;5767;1;0
4.7451453;-74.1180754;13164;1;0
4.749671;-74.0477844;7682;1;0
4.5731338;-74.1631343;6565;1;0
4.5815663;-74.1978181;7676;1;0
4.518503;-74.1176654;5408;1;0
4.6305971;-74.1098477;6631;1;0
4.5904248;-74.1042519;6681;1;0
4.6027457;-74.0807041;2162;1;0
4.750557;-74.0634842;9513;1;0
4.5742448;-74.1772312;5465;1;0
4.575547;-74.2429071;1847;1;0
4.5430213;-74.1703976;2426;1;0
4.7496759;-74.0930462;763;1;0
4.5944682;-74.1978994;6756;1;0
4.611921;-74.208078;42;1;0
5.0251455;-74.0060468;1130;1;0
4.6057054;-74.0718633;8544;1;0
4.6065062;-74.1762909;15182;1;0
4.5831672;-74.1140589;7290;1;0
4.572009;-74.0943657;6943;1;0
4.6951877;-74.1749809;8561;1;0
4.5374056;-74.1396952;5894;1;0
4.614058;-74.158869;4895;1;0
4.5359947;-74.0870396;3465;1;0
4.6256607;-74.1653741;13666;1;0
4.6070072;-74.2251385;7195;1;0
4.7386693;-74.0889011;1822;1;0
4.56677;-74.114243;5042;1;0
4.6048017;-74.0818892;7301;1;0
4.6221057;-74.1918831;5836;1;0
4.5573172;-74.0831561;21202;1;0
4.6408748;-74.0685676;20504;1;0
4.693848;-74.1729785;7979;1;0
4.5583757;-74.1386046;5037;1;0
4.5929514;-74.0906354;20491;1;0
4.5836142;-74.1092285;20513;1;0
4.5323634;-74.1147513;7691;1;0
4.6418691;-74.1461435;15975;1;0
4.6044671;-74.1216424;166;1;0
4.8043361;-74.1067955;20216;1;0
4.6424983;-74.1665021;16160;1;0
4.5792438;-74.2219463;3004;1;0
4.7416889;-74.08887;872;1;0
4.8530554;-74.2617802;11032;1;0
4.5819778;-74.213834;807;1;0
4.7393224;-74.0908919;11957;1;0
4.7157718;-74.0534004;6361;1;0
4.6360147;-74.1767441;4887;1;0
4.6438888;-74.1610723;4085;1;0
4.7400624;-74.0940363;5310;1;0
4.5823804;-74.2044236;156;1;0
4.6205269;-74.1479434;13094;1;0
4.7232593;-74.0894853;1429;1;0
