LATITUDE,LONGITUDE,CLIENT_LIST,CLIENT_WEIGHT,OWN
4.64,-74.07,19127;17225;6585;6729;7649;21905;18892;7834;20504;7698;6722;3678;16626;10704;7557;13943;16620;18994;6522;18809;1654;15375;5728;7396;4993;6719;14877;3440;13181;13191;17125;10069;3689;10745;4612;16720;19494;17020;986,39,0
4.52,-74.09,14808;5915;5270;10479;7697;1620;20344;15248;728;15378;5277;5339;11890;15400;10480;11930;3480,17,0
4.74,-74.03,4463;8530;15329;11423;6590;4434;4437;6124;6604;8799;515;686;13924;10171;10665;11866;4054;16742;8529;8768;8767;6332;4471;18670;7524;14231;21405;1624;6111;20094;19385;14637;3111;5395;11424;10172;12425,37,0
4.55,-74.16,151;13289;7846;6388;189;13141;729;20559;11323;1032;12108;5664;8097;4845;152;21227;5675;15439;67;6549;5654;425;149;582;968;11824,26,0
4.63,-74.19,4649;382;8363;1726;12870;4765;4904;8364;4903;13121;6865;16385;16544;13567;1655;7209;4820;3795;21604;4713;16382;14401;3903;20749;15995;246;8973;8648;5027;15405;231;1598;654;4647;15750;10522;13173;10521;11156;10844;4902;3060;4482;18782;20286,45,0
4.63,-74.11,13404;6631;9628;7646;10618;865;22172;12883;17571;6740;13424;18812;6271;13120;13941;12871;11325,17,0
4.54,-74.09,14781;3148;9314;3465;14873;3464;6185;12239;8460;6181;5883;15308;8459;7516;7525;12526;4012,17,0
5.03,-74,18897;20762;19968;20223;19961;999;1367;17841;18834;19555;20934;15069;19902;981;1312;18986;19560;19038;18965;1405;18869;20252;20005;18899;17868;19919;1628;1421;2152;18997;1408;3895;15018;19784;19481;18955,36,0
4.96,-73.91,19368;20452,2,0
4.54,-74.16,6967;7014;1360;10530;12881;12887;10529;19751;9298;18817;55;142,12,0
4.69,-74.15,14314;2167;2156;2159;2148;2184;2153;4645;18032;13608;5292;1935;4642;6823;1282;5106;2142,17,0
4.58,-74.21,143;5794;245;8023;8031;8635;268;12052;565;15135;6033;15399;15674;8543;396;6238;434;18684;10683;15594;807;5916;5177;12481;8030;4844;5279;427;2104;7038;1849;7765;586;167;144;7702;15679;20425;7083;6591;5969;57;302;102;381;8022;193;1867;18104;723;1401;69,52,0
4.7,-74.1,5822;7602;7668;5895;7658;5802;2032;5600;1052;760;6105;12692;5568;2409;5944;5608;6486;7695;7648;11708;13622;14758;10689;43;5622,25,0
4.7,-74.11,2912;4605;9839;7708;12520;13512;10908;2016;6031;17641;19473;3793;8739;14901;5991;3739;14353;15068;1243;21794,20,0
4.67,-74.1,6422;14889;13319;13788;6842;1108;15121;22279;6166;6155;3914;15112;14429,13,0
4.96,-74.43,21170;20859;20929;21152,4,0
4.87,-74.14,21138;16807;19488;21753;19542;22156,6,0
5.21,-74.74,13454,1,0
4.73,-74.22,2949;19062;3582;15041;3163;3478,6,0
4.67,-74.13,5424;13799;5234;20830;5411;5231;10730,7,0
4.75,-74.14,11992;7060,2,0
4.73,-74.05,19738;562;6239;17801;11300;5075;21708;14779;5425;5266;14785;6626;12471;5257;16114;11123;1755,17,0
4.73,-74.06,20840;8068;1158;12386;10003,5,0
4.62,-74.09,22258;7822;13765;20490;9901;13934;15006;20542;1381;5400,10,0
4.97,-73.91,1169;2450,2,0
5.16,-73.8,13821,1,0
4.79,-74.21,19125,1,0
