LATITUDE;LONGITUDE;CLIENT_LIST;CLIENT_WEIGHT;OWN
4.6;-74.07;7978;1;0
4.567;-74.086;"8536;8535";2;0
4.561;-74.147;"7905;13017;10697";3;0
4.592;-74.173;"16250;10643";2;0
4.61;-74.189;324;1;0
4.682;-74.065;"13428;13418;20856;13440;4092";5;0
4.726;-74.089;"7465;14301;4577;20466;7503;933;5420;3021;10871";9;0
4.62;-74.148;"13364;3570";2;0
4.552;-74.088;7166;1;0
4.635;-74.094;18608;1;0
4.759;-74.026;17070;1;0
4.695;-74.175;8561;1;0
4.512;-74.115;5274;1;0
4.673;-74.145;"871;718;7453";3;0
4.589;-74.109;7948;1;0
4.614;-74.159;4895;1;0
4.555;-74.141;1652;1;0
4.599;-74.19;"15138;8365";2;0
4.535;-74.147;182;1;0
4.592;-74.195;6744;1;0
4.644;-74.061;5154;1;0
5.024;-74.008;"1338;1132";2;0
4.684;-74.087;8243;1;0
4.666;-74.077;4943;1;0
5.028;-73.983;1102;1;0
4.707;-74.069;458;1;0
4.589;-74.224;"407;4227;11501;1605;11972";5;0
4.558;-74.145;299;1;0
4.717;-74.065;"14190;2106;3068;3801";4;0
4.677;-74.101;19594;1;0
4.698;-74.05;14589;1;0
4.718;-74.228;"16456;16219;20081";3;0
4.58;-74.08;5572;1;0
4.566;-74.099;2336;1;0
4.604;-74.189;"490;1989;6991";3;0
4.598;-74.094;10539;1;0
4.666;-74.057;2;1;0
4.579;-74.136;4075;1;0
4.634;-74.066;"15284;3945";2;0
4.587;-74.192;"5254;6832";2;0
4.744;-74.095;4462;1;0
4.591;-74.14;"973;18168;16947";3;0
4.608;-74.175;14327;1;0
4.674;-74.102;13788;1;0
4.587;-74.072;6812;1;0
4.641;-74.153;726;1;0
4.711;-74.14;3102;1;0
4.749;-74.047;"10098;9680";2;0
4.536;-74.085;14781;1;0
4.58;-74.216;"6944;6184;388;1753";4;0
4.574;-74.182;"5610;987";2;0
4.51;-74.105;"6873;6872;10165";3;0
4.585;-74.134;"7730;7666;4990;853";4;0
4.67;-74.146;6093;1;0
4.69;-74.098;"9359;9360;5964;10369;10370;14618";6;0
4.546;-74.15;"12094;11244";2;0
4.633;-74.155;4279;1;0
4.611;-74.149;"251;752";2;0
4.572;-74.083;5298;1;0
4.75;-74.079;13752;1;0
4.68;-74.049;"16483;8906";2;0
4.585;-74.133;"5372;4703";2;0
4.55;-74.141;"14282;22048;2802;15180;8422;350";6;0
4.522;-74.092;20344;1;0
4.646;-74.175;"13323;6429";2;0
4.64;-74.074;21905;1;0
4.592;-74.099;21979;1;0
4.62;-74.08;20501;1;0
4.874;-74.144;21138;1;0
4.594;-74.173;"9489;9490";2;0
4.762;-74.033;4324;1;0
4.592;-74.116;"20586;4682";2;0
4.616;-74.114;"7460;12379;10544;10543";4;0
4.727;-74.12;21186;1;0
4.757;-74.029;"6440;4526";2;0
4.603;-74.081;"7203;21740;2677;17110;7135;2162;7579;6702";8;0
4.723;-74.07;"16005;6607;14495";3;0
4.7;-74.128;14181;1;0
4.622;-74.161;3604;1;0
4.597;-74.122;"6078;10570";2;0
4.763;-74.031;6651;1;0
4.632;-74.183;1785;1;0
4.613;-74.169;"9177;279";2;0
4.608;-74.202;1065;1;0
4.57;-74.163;"12987;12647;5911;12462";4;0
4.6;-74.184;17041;1;0
4.996;-74.339;17548;1;0
4.585;-74.213;"566;6901";2;0
4.616;-74.162;4677;1;0
4.681;-74.107;3754;1;0
4.471;-74.124;2528;1;0
4.59;-74.176;16953;1;0
4.56;-74.099;"14349;6350";2;0
4.597;-74.098;20280;1;0
4.715;-74.106;"22180;39";2;0
4.6;-74.193;1054;1;0
4.697;-74.203;2836;1;0
4.685;-74.149;5106;1;0
4.748;-74.046;20914;1;0
4.613;-74.088;18308;1;0
4.579;-74.087;"2304;14316";2;0
5.033;-74;"18897;18899";2;0
5.031;-74.004;"1628;17841";2;0
4.747;-74.098;13927;1;0
4.609;-74.104;928;1;0
4.706;-74.118;21;1;0
4.627;-74.164;16956;1;0
4.669;-74.078;11348;1;0
4.608;-74.11;14448;1;0
4.539;-74.135;16708;1;0
4.545;-74.096;14622;1;0
4.561;-74.085;5240;1;0
4.564;-74.234;"15737;7617";2;0
4.5;-74.11;1486;1;0
4.574;-74.154;21955;1;0
4.693;-74.149;1935;1;0
4.745;-74.126;"3787;2441;14458";3;0
4.868;-74.053;16152;1;0
4.559;-74.142;13700;1;0
4.808;-74.103;20222;1;0
4.6;-74.221;14164;1;0
4.605;-74.076;"14332;20746;13953";3;0
4.605;-74.077;14279;1;0
4.919;-74.029;17955;1;0
4.723;-74.026;7318;1;0
4.67;-74.076;"6942;7128";2;0
4.513;-74.119;5444;1;0
4.598;-74.103;2232;1;0
4.638;-74.199;"1779;13088";2;0
4.581;-74.102;7811;1;0
4.6;-74.131;129;1;0
4.53;-74.152;607;1;0
4.677;-74.092;12254;1;0
4.554;-74.099;2808;1;0
4.579;-74.224;10670;1;0
4.567;-74.17;19654;1;0
4.618;-74.181;"4641;18530";2;0
4.604;-74.193;13268;1;0
4.627;-74.2;"5941;13789;4660";3;0
4.609;-74.139;2997;1;0
4.577;-74.247;11812;1;0
4.626;-74.2;"1619;13337";2;0
4.553;-74.117;17527;1;0
4.851;-74.063;3715;1;0
4.567;-74.129;19551;1;0
4.63;-74.197;19601;1;0
4.757;-74.098;19998;1;0
5.034;-74;18965;1;0
4.565;-74.13;18999;1;0
4.678;-74.149;107;1;0
4.622;-74.128;"10759;11140";2;0
4.576;-74.223;450;1;0
4.666;-74.12;"15036;18387";2;0
4.739;-74.076;"6344;2491";2;0
4.85;-74.064;19466;1;0
4.589;-74.122;4922;1;0
4.756;-74.08;"15110;15977";2;0
4.53;-74.118;19167;1;0
4.703;-74.129;13651;1;0
4.602;-74.188;"3109;12712;11421";3;0
4.727;-74.036;"14791;14788";2;0
4.682;-74.166;7282;1;0
4.701;-74.093;6629;1;0
4.541;-74.093;"8460;8459";2;0
4.711;-74.074;15982;1;0
4.722;-74.042;7760;1;0
4.707;-74.098;"10443;10444";2;0
4.619;-74.08;7248;1;0
4.746;-74.063;"8802;11299";2;0
4.625;-74.134;9862;1;0
4.569;-74.083;19203;1;0
4.722;-74.085;455;1;0
4.631;-74.11;"6631;12871";2;0
4.701;-74.127;3006;1;0
4.526;-74.116;6120;1;0
4.623;-74.071;13682;1;0
4.746;-74.058;9477;1;0
4.69;-74.045;6813;1;0
4.694;-74.032;5219;1;0
5.031;-74.001;2152;1;0
4.666;-74.065;7390;1;0
4.663;-74.069;5668;1;0
4.63;-74.171;9159;1;0
4.623;-74.132;"4547;4477";2;0
4.585;-74.095;6799;1;0
4.649;-74.064;4960;1;0
4.611;-74.076;3487;1;0
4.635;-74.169;226;1;0
4.755;-74.096;"850;14740";2;0
4.516;-74.091;5339;1;0
4.587;-74.168;"12937;9579";2;0
4.588;-74.138;4338;1;0
4.609;-74.191;3302;1;0
4.622;-74.143;"332;2987";2;0
4.518;-74.091;10479;1;0
4.602;-74.197;391;1;0
4.929;-74.173;18702;1;0
4.626;-74.17;"16348;15571";2;0
4.583;-74.19;8431;1;0
4.714;-74.119;18499;1;0
4.766;-74.038;5737;1;0
4.717;-73.968;19314;1;0
4.552;-74.162;21227;1;0
4.562;-74.085;13725;1;0
4.611;-74.113;13328;1;0
4.687;-74.065;"16491;13450";2;0
4.557;-74.083;21202;1;0
4.551;-74.163;4845;1;0
4.757;-74.037;21381;1;0
4.534;-74.086;"400;616";2;0
4.629;-74.087;7588;1;0
4.676;-74.073;2077;1;0
4.708;-74.104;9824;1;0
4.697;-74.166;2119;1;0
4.598;-74.143;2758;1;0
4.567;-74.07;1789;1;0
4.716;-74.06;"3834;3831";2;0
4.737;-74.029;5395;1;0
4.618;-74.172;"10242;10241";2;0
4.696;-74.125;"13174;14370";2;0
4.588;-74.203;4596;1;0
4.536;-74.145;6240;1;0
4.683;-74.134;4447;1;0
4.551;-74.15;17;1;0
4.575;-74.158;4132;1;0
4.709;-74.143;1237;1;0
4.584;-74.11;21328;1;0
4.721;-74.055;21036;1;0
4.582;-74.184;15645;1;0
5.03;-74;18955;1;0
4.604;-74.078;21685;1;0
4.625;-74.187;18782;1;0
5.026;-73.994;18528;1;0
4.62;-74.122;538;1;0
4.71;-74.057;15724;1;0
4.661;-74.075;12725;1;0
4.698;-74.168;13623;1;0
4.676;-74.105;12332;1;0
4.571;-74.236;10;1;0
4.582;-74.139;5823;1;0
4.57;-74.152;3357;1;0
4.581;-74.112;2330;1;0
4.63;-74.191;"10844;7209";2;0
4.545;-74.11;6170;1;0
4.589;-74.193;5999;1;0
4.584;-74.111;5993;1;0
4.586;-74.09;207;1;0
4.632;-74.152;2860;1;0
4.623;-74.119;21629;1;0
4.585;-74.138;7854;1;0
4.615;-74.159;869;1;0
4.587;-74.094;532;1;0
4.71;-74.132;17840;1;0
4.573;-74.239;12098;1;0
4.693;-74.12;20186;1;0
4.544;-74.144;694;1;0
5.012;-74.473;"21389;21410";2;0
4.589;-74.121;8609;1;0
4.624;-74.185;259;1;0
4.629;-74.165;7303;1;0
4.758;-74.034;20487;1;0
4.74;-74.107;2761;1;0
4.701;-74.124;1342;1;0
4.555;-74.115;3804;1;0
4.668;-74.14;12863;1;0
4.555;-74.109;4281;1;0
4.701;-74.044;11344;1;0
4.618;-74.158;20607;1;0
4.575;-74.219;14542;1;0
4.863;-74.061;17048;1;0
4.55;-74.14;508;1;0
4.727;-74.093;2845;1;0
4.547;-74.111;11911;1;0
4.683;-74.136;14436;1;0
4.644;-74.137;5203;1;0
4.569;-74.23;14629;1;0
4.612;-74.114;1444;1;0
4.562;-74.234;105;1;0
4.682;-74.092;"12812;11454";2;0
4.679;-74.06;4200;1;0
4.609;-74.132;21649;1;0
4.717;-74.137;20127;1;0
4.908;-73.942;2666;1;0
4.724;-74.227;19670;1;0
4.61;-74.168;15217;1;0
4.583;-74.135;13519;1;0
4.586;-74.18;13490;1;0
4.561;-74.146;"6818;7904";2;0
5.025;-74.002;"20934;981";2;0
4.719;-73.969;"14954;658";2;0
4.662;-74.075;10145;1;0
4.616;-74.181;2616;1;0
4.635;-74.113;13120;1;0
4.629;-74.188;21604;1;0
4.658;-74.112;18359;1;0
4.689;-74.051;"17984;14133;19232;19788;20509;18694;16195;16425;19351;22304;19728;19796;19787;21341;19975;19193;20488;6551;9675;21669;20482;18383;16424";23;0
4.727;-74.126;5876;1;0
4.741;-74.041;6218;1;0
4.622;-74.19;"260;10980;13099";3;0
4.578;-74.12;"8707;18687";2;0
4.549;-74.097;18818;1;0
4.538;-74.116;"17667;15223";2;0
4.6;-74.129;16168;1;0
4.643;-74.188;17073;1;0
4.618;-74.121;"4542;5889";2;0
4.501;-74.11;11521;1;0
4.733;-74.03;7597;1;0
4.715;-74.119;"3583;17755";2;0
4.635;-74.166;8279;1;0
4.602;-74.138;3005;1;0
4.543;-74.138;5391;1;0
4.613;-74.12;"13114;20318";2;0
4.621;-74.096;"14284;15023";2;0
4.716;-74.228;16020;1;0
4.498;-74.103;5606;1;0
4.652;-74.065;"2285;6783;6784";3;0
4.603;-74.122;"3789;11397;1848;4115;12095";5;0
4.636;-74.119;"6605;6612;6609;20553";4;0
4.596;-74.122;13360;1;0
4.682;-74.093;"9747;9748";2;0
4.573;-74.1;"9667;13554";2;0
4.581;-74.125;"11182;4242;11108";3;0
4.569;-74.085;"5294;12177";2;0
4.643;-74.167;3002;1;0
4.602;-74.076;"8600;8599";2;0
4.514;-74.116;1649;1;0
4.582;-74.122;195;1;0
4.648;-74.065;"6493;16642;7814;20503";4;0
4.704;-74.105;14901;1;0
4.786;-74.052;20069;1;0
4.64;-74.146;7373;1;0
4.561;-74.127;"3682;2085";2;0
4.723;-74.092;20264;1;0
4.625;-74.115;"511;7646";2;0
4.658;-74.069;5791;1;0
4.719;-74.131;12629;1;0
4.719;-73.968;13767;1;0
4.582;-74.205;5279;1;0
4.556;-74.098;"15402;5676";2;0
4.765;-74.038;"2322;5764";2;0
4.751;-74.102;"12955;21733";2;0
4.561;-74.129;6751;1;0
4.548;-74.147;1310;1;0
4.578;-74.159;7847;1;0
4.609;-74.086;2453;1;0
4.753;-74.045;"5585;14916";2;0
4.725;-74.053;5266;1;0
4.737;-74.092;"5924;17166";2;0
4.965;-73.916;18780;1;0
4.544;-74.146;1479;1;0
4.592;-74.16;"6862;4678";2;0
4.712;-74.103;"9641;14929;6281";3;0
4.595;-74.189;282;1;0
4.588;-74.164;"3627;8655";2;0
4.62;-74.205;1879;1;0
4.726;-74.038;5131;1;0
4.638;-74.102;12632;1;0
4.627;-74.199;"16333;9493";2;0
4.589;-74.074;"1145;1458";2;0
4.821;-75.728;6633;1;0
4.605;-74.096;5867;1;0
4.685;-74.153;5297;1;0
4.565;-74.147;1857;1;0
4.614;-74.112;"1415;7408";2;0
4.511;-74.099;5805;1;0
4.734;-74.095;"6080;15869";2;0
4.679;-74.098;16013;1;0
4.642;-74.078;"7411;15193";2;0
4.644;-74.172;21874;1;0
4.613;-74.099;20516;1;0
4.56;-74.142;6840;1;0
4.597;-74.072;14888;1;0
4.618;-74.162;17371;1;0
4.741;-74.129;21852;1;0
4.562;-74.103;15391;1;0
4.684;-74.097;"6777;2954";2;0
4.582;-74.094;5950;1;0
4.598;-74.156;9504;1;0
4.608;-74.127;6219;1;0
4.629;-74.152;13445;1;0
4.547;-74.089;5897;1;0
4.58;-74.214;6238;1;0
4.662;-74.068;9331;1;0
4.568;-74.116;13296;1;0
4.547;-74.16;149;1;0
4.549;-74.11;1818;1;0
4.703;-74.023;18287;1;0
4.574;-74.106;21956;1;0
4.717;-74.09;20282;1;0
4.714;-74.128;20537;1;0
4.503;-74.116;"10716;11171";2;0
4.669;-74.15;10234;1;0
4.59;-74.106;513;1;0
4.687;-74.108;12744;1;0
4.716;-74.12;14708;1;0
4.622;-74.159;"10433;3586";2;0
4.579;-74.141;"3481;14061";2;0
4.721;-74.046;"14727;7733";2;0
4.684;-74.048;16426;1;0
4.732;-74.104;2926;1;0
4.571;-74.146;154;1;0
4.62;-74.073;1050;1;0
4.581;-74.096;"775;5490";2;0
4.676;-74.056;17202;1;0
4.681;-74.154;84;1;0
4.742;-74.267;21643;1;0
4.721;-74.036;7443;1;0
4.608;-74.143;3318;1;0
4.569;-74.087;17021;1;0
4.71;-74.123;18536;1;0
4.608;-74.201;20660;1;0
4.747;-74.114;"2988;3065;17754;18881;3824";5;0
4.694;-74.062;"20089;20842";2;0
4.671;-74.047;5602;1;0
4.564;-74.187;7585;1;0
4.675;-74.148;"10499;17124";2;0
4.707;-74.099;5092;1;0
4.697;-74.1;7602;1;0
4.605;-74.187;18710;1;0
4.699;-74.075;20330;1;0
4.627;-74.169;"18674;18688;16078;12630;10623;15631;11792;12929;492";9;0
4.63;-74.086;17624;1;0
4.741;-74.043;"20583;13436;17887";3;0
4.622;-74.074;9902;1;0
4.605;-74.155;15864;1;0
4.7;-74.101;7658;1;0
4.514;-74.114;6117;1;0
