LATITUDE,LONGITUDE,ID,TOTAL_DELIVERIES,KG_DEMAND
4.6851084,-74.1009327,683,41,57
4.6713086,-74.1054048,787,120,249
-2.8918409,-69.7419233,296,183,213
4.5825059,-74.1157907,6158,27,817
5.6144836,-73.8211263,810,70,252
4.6701718,-74.1066852,27363,19,1
4.6233531,-74.1617764,9785,62,77
4.6050471,-74.1034959,6622,22,1022
4.5681130,-74.1651571,12652,13,25
4.5902026,-74.2182595,11100,13,70
4.6439497,-74.1702802,8024,8,8
4.6479895,-74.0652074,6493,188,446
4.5782868,-74.2412562,10001,32,83
4.8181544,-74.1073433,19225,7,50
4.7576476,-74.0540344,13377,40,751
-2.8918409,-69.7419233,429,39,446
4.6621429,-74.1350112,27397,102,63
4.6107584,-74.1133600,13328,28,884
4.6951732,-74.1047663,1940,19,1156
4.6255768,-74.1376211,20567,1,560
4.5514492,-74.1158549,15859,21,8
4.6375075,-74.1926792,389,13,1081
4.6014391,-74.1260363,12922,69,64
4.5943650,-74.1964742,16449,19,42
4.9301958,-74.1727373,20065,49,49
4.7086471,-74.2042397,21528,32,44
4.5509320,-74.1620694,151,136,238
4.5912175,-74.1204825,998,25,98
4.5800123,-74.1924999,2387,628,261
4.6655932,-74.0470640,26692,14,17
4.6097893,-74.1085415,7433,17,79
4.6669978,-74.0651313,13627,164,201
4.6084106,-74.2021024,1065,123,420
4.5737416,-74.1538426,21955,36,90
4.6056827,-74.1504671,15667,46,170
4.6389147,-74.1749919,2882,226,464
4.6499458,-74.0847084,25244,8,9
4.5394894,-74.1600296,18817,11,3
4.6130310,-74.2002164,422,23,220
4.6513448,-74.0518602,22287,56,38
4.6883434,-74.0515275,15960,199,127
4.7303837,-74.0265216,715,42,703
4.6340443,-74.0716907,21042,50,193
4.5736343,-74.1060186,21956,104,147
4.5057170,-74.1133911,25942,99,163
4.5677755,-74.1496698,6494,1,117
4.6276166,-74.1667354,26469,197,528
4.6215053,-74.1434825,332,31,753
4.5983680,-74.1166539,18972,94,237
4.7274317,-74.0894433,18769,54,452
4.7594482,-74.1056662,21654,17,64
4.5174234,-74.0914863,5277,36,159
5.0238990,-73.9831423,22045,12,110
4.5290158,-74.0913349,5348,29,31
4.5819486,-74.2140788,245,223,485
4.7386789,-74.0652375,770,12,645
4.5825152,-74.2242139,17035,4,353
4.6969016,-74.0392742,7238,38,205
4.7557588,-74.0843819,21414,111,143
4.5822508,-74.1844709,15645,1,30
4.3272967,-74.3758490,23351,43,12
4.6639572,-74.0642286,24322,12,222
4.5865417,-74.1478178,19792,2,50
4.5689411,-74.1511910,1538,493,144
4.6455792,-74.1743451,2214,77,345
4.5546636,-74.1175308,633,88,437
4.6521247,-74.0601907,7836,68,632
4.5877939,-74.1378191,4338,60,68
4.7047059,-74.0563302,2095,54,660
4.9132606,-74.0198955,1390,13,766
4.6520183,-74.0632587,22423,27,3
4.6339190,-74.1684480,16711,213,37
4.7219958,-74.0929267,12518,6,334
4.6266574,-74.1432601,3671,13,925
4.6108408,-74.1016107,22406,10,767
4.5758956,-74.1636335,24541,82,15
4.5934492,-74.1915367,10321,9,494
4.7255479,-74.0494945,21708,9,867
4.6155010,-74.1871669,418,9,487
4.5965366,-74.1909728,243,330,241
4.6899567,-74.1007836,7534,38,289
