,lat,long,weight,y_pred
0,4.6743284,-74.1471051,1.0,1
1,4.6061987,-74.1045821,1.0,1
2,4.5604929,-74.121375,1.0,1
3,4.6888124,-74.0513821,1.0,1
5,4.5543976,-74.1371969,1.0,1
6,4.5669538,-74.1441112,1.0,1
7,4.6307093,-74.1080401,1.0,1
8,4.5697416,-74.1632687,1.0,1
9,4.6954138,-74.1650091,1.0,1
10,4.5295943,-74.1182803,1.0,1
12,4.6066918,-74.1809138,1.0,1
13,4.6183436,-74.1205294,1.0,1
14,4.5538487,-74.1401427,1.0,1
15,4.6190874,-74.1268401,1.0,1
16,4.615301,-74.143189,1.0,1
17,4.5504297,-74.095256,1.0,1
18,4.6269529,-74.1695982,1.0,1
20,4.6085573,-74.1687125,1.0,1
21,4.7426315,-74.1075124,1.0,1
22,4.568199,-74.1227441,1.0,1
23,4.6157842,-74.0827021,1.0,1
24,4.688822,-74.0512481,1.0,1
25,4.7491298,-74.047367,1.0,1
26,4.6153211,-74.1988205,1.0,1
27,4.6387787,-74.1727641,1.0,1
29,4.6993392,-74.1142246,1.0,1
31,4.6329492,-74.1854012,1.0,1
32,4.7295712,-74.0929614,1.0,1
33,4.5488353,-74.1619555,1.0,1
34,4.7399887,-74.0390426,1.0,1
36,4.6250241,-74.1891815,1.0,1
38,4.6332705,-74.2048521,1.0,1
39,4.5867914,-74.2155671,1.0,1
40,4.5279951,-74.1661477,1.0,1
41,4.5948797,-74.197729,1.0,1
42,4.5106879,-74.1111584,1.0,1
43,4.7143063,-74.0991257,1.0,1
44,4.6685288,-74.0737219,1.0,1
45,4.5168613,-74.089561,1.0,1
46,4.6217814,-74.1130237,1.0,1
47,4.5823215,-74.079675,1.0,1
48,4.7525969,-74.044644,1.0,1
49,4.5487609,-74.1617286,1.0,1
51,4.7055882,-74.092485,1.0,1
52,4.7134589,-74.0614987,1.0,1
53,4.7179147,-74.0906012,1.0,1
54,4.6225962,-74.1140936,1.0,1
55,4.7387446,-74.0853826,1.0,1
56,4.5788046,-74.1600115,1.0,1
57,4.7335523,-74.1092183,1.0,1
59,4.652492,-74.0787736,1.0,1
60,4.6804939,-74.0896256,1.0,1
61,4.6244535,-74.1665704,1.0,1
62,4.5606119,-74.1239151,1.0,1
63,4.6765742,-74.0845505,1.0,1
64,4.5710818,-74.1796333,1.0,1
65,4.7561617,-74.0968095,1.0,1
66,4.6776526,-74.1455738,1.0,1
67,4.6465166,-74.1213809,1.0,1
68,4.5128152,-74.1145975,1.0,1
